TeamName_FD,TeamName_SR,TeamName_SR_Amended,2015,2016,2017,2018,2019,2020,2021
WKENT,Western Kentucky,Western Kentucky,CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East)
LOU,Louisville,Louisville,ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic)
WAKE,Wake Forest,Wake Forest,ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic)
ALA,Alabama,Alabama,SEC (West),SEC (West),SEC (West),SEC (West),SEC (West),SEC (West),SEC (West)
PITT,Pittsburgh,Pitt,ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal)
LIBRTY,Liberty,Liberty,#N/A,#N/A,#N/A,Ind,Ind,Ind,Ind
VIR,Virginia,Virginia,ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal)
NCAR,North Carolina,North Carolina,ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal)
KENTST,Kent State,Kent State,MAC (East),MAC (East),MAC (East),MAC (East),MAC (East),MAC (East),MAC (East)
OHIOST,Ohio State,Ohio State,Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East)
MISS,Mississippi,Ole Miss,SEC (West),SEC (West),SEC (West),SEC (West),SEC (West),SEC (West),SEC (West)
TENN,Tennessee,Tennessee,SEC (East),SEC (East),SEC (East),SEC (East),SEC (East),SEC (East),SEC (East)
UTSA,Texas-San Antonio,UTSA,CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West)
CIN,Cincinnati,Cincinnati,American (East),American (East),American (East),American (East),American (East),American,American
SMU,Southern Methodist,SMU,American (West),American (West),American (West),American (West),American (West),American,American
MSPST,Mississippi State,Mississippi State,SEC (West),SEC (West),SEC (West),SEC (West),SEC (West),SEC (West),SEC (West)
ORE,Oregon,Oregon,Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North)
FREST,Fresno State,Fresno State,MWC (West),MWC (West),MWC (West),MWC (West),MWC (West),MWC (West),MWC (West)
ARK,Arkansas,Arkansas,SEC (West),SEC (West),SEC (West),SEC (West),SEC (West),SEC (West),SEC (West)
UCLA,UCLA,UCLA,Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South)
NEBR,Nebraska,Nebraska,Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West)
UK,Kentucky,Kentucky,SEC (East),SEC (East),SEC (East),SEC (East),SEC (East),SEC (East),SEC (East)
NEVADA,Nevada,Nevada,MWC (West),MWC (West),MWC (West),MWC (West),MWC (West),MWC (West),MWC (West)
OKST,Oklahoma State,Oklahoma State,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12
NCST,North Carolina State,North Carolina State,ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic)
UTAHST,Utah State,Utah State,MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain)
COAST,Coastal Carolina,Coastal Carolina,#N/A,#N/A,Sun Belt,Sun Belt (East),Sun Belt (East),Sun Belt (East),Sun Belt (East)
HOU,Houston,Houston,American (West),American (West),American (West),American (West),American (West),American,American
FL,Florida,Florida,SEC (East),SEC (East),SEC (East),SEC (East),SEC (East),SEC (East),SEC (East)
MST,Michigan State,Michigan State,Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East)
MARY,Maryland,Maryland,Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East)
TOLEDO,Toledo,Toledo,MAC (West),MAC (West),MAC (West),MAC (West),MAC (West),MAC (West),MAC (West)
UTAH,Utah,Utah,Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South)
WMICH,Western Michigan,Western Michigan,MAC (West),MAC (West),MAC (West),MAC (West),MAC (West),MAC (West),MAC (West)
LOULAF,Louisiana,Louisiana,Sun Belt,Sun Belt,Sun Belt,Sun Belt (West),Sun Belt (West),Sun Belt (West),Sun Belt (West)
APPLST,Appalachian State,Appalachian State,Sun Belt,Sun Belt,Sun Belt,Sun Belt (East),Sun Belt (East),Sun Belt (East),Sun Belt (East)
NILL,Northern Illinois,Northern Illinois,MAC (West),MAC (West),MAC (West),MAC (West),MAC (West),MAC (West),MAC (West)
GA,Georgia,Georgia,SEC (East),SEC (East),SEC (East),SEC (East),SEC (East),SEC (East),SEC (East)
