Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPoints
1,50046128,Sam Howell,NCAR,QB,2,GAST,21,29,72.4,352,12.1,3,0,147.49,11,104,9.5,2,48.48
2,50028212,Jake Haener,FREST,QB,2,CALPOL,17,22,77.3,380,17.3,4,0,158.14,3,11,3.7,2,44.3
3,50013382,Cole Kelley,SELOU,QB,2,LOUTCH,44,59,74.6,495,8.4,3,2,102.01,14,42,3,2,44
4,50041135,Brennan Armstrong,VIR,QB,2,ILL,27,36,75,405,11.2,5,1,139.47,5,31,6.2,0,39.1
5,50038679,Gerry Bohannon,BAYL,QB,2,TXS,17,23,73.9,247,10.7,3,0,148.01,5,27,5.4,2,36.58
6,50012607,Lindsey Scott Jr.,NICHLS,QB,2,LOULAF,26,37,70.3,359,9.7,3,1,116.84,18,121,6.7,0,36.46
7,50046284,Payton Thorne,MST,QB,2,YNGST,15,21,71.4,280,13.3,4,0,153.27,3,19,6.3,1,35.1
8,50038515,Matt Corral,MISS,QB,2,AUSP,21,33,63.6,281,8.5,5,0,130.18,8,35,4.4,0,34.74
9,50028367,D.J. Mack Jr.,OLD,QB,2,HAMP,11,22,50,162,7.4,1,0,89.58,12,57,4.8,3,34.18
10,50030875,Bailey Zappe,WKENT,QB,2,ARMY,28,40,70,435,10.9,3,1,120.31,8,7,0.9,1,34.1
11,50064524,Seth Henigan,MPHS,QB,2,ARKST,22,33,66.7,417,12.6,5,0,149.31,5,-26,-5.2,0,34.08
12,50033477,Stetson Bennett,GA,QB,2,UAB,10,12,83.3,288,24,5,0,158.33,1,20,20,0,33.52
13,50046339,Spencer Rattler,OKL,QB,2,WCAR,20,26,76.9,243,9.3,5,0,144.71,4,29,7.2,0,32.62
14,50046693,Max Duggan,TCU,QB,2,CAH,17,31,54.8,234,7.5,3,1,98.05,19,71,3.7,1,32.46
15,50037093,Carson Strong,NEVADA,QB,2,IDHST,34,43,79.1,381,8.9,4,0,134.59,1,4,4,0,31.64
16,50058356,Anthony Richardson,FL,QB,2,SFL,3,3,100,152,50.7,2,0,158.33,4,115,28.8,1,31.58
17,50015440,Logan Bonner,UTAHST,QB,2,NDAK,21,33,63.6,390,11.8,4,1,131.31,10,14,1.4,0,31
18,50046075,Dillon Gabriel,UCF,QB,2,BCOOK,23,36,63.9,312,8.7,2,0,109.95,2,43,21.5,1,30.78
19,50048339,Grant Wells,MARSH,QB,2,NCC,34,48,70.8,344,7.2,3,1,103.13,5,10,2,1,30.76
20,50060518,Jayden De Laura,WASHST,QB,2,PORTST,21,29,72.4,303,10.4,3,1,126.08,7,23,3.3,1,30.42
21,50026310,Malik Cunningham,LOU,QB,2,EKENT,15,23,65.2,278,12.1,1,0,121.29,11,29,2.6,2,30.02
22,50003310,Davis Alexander,PORTST,QB,2,WASHST,27,49,55.1,293,6,2,1,78.02,13,62,4.8,1,29.92
23,50036930,Jason Bean,KAN,QB,2,COAST,12,23,52.2,189,8.2,0,0,79.8,13,102,7.8,2,29.76
24,50028057,Malik Willis,LIBRTY,QB,2,TROY,13,18,72.2,154,8.6,2,0,134.95,20,93,4.6,1,29.46
25,50026050,James Blackman,ARKST,QB,2,MPHS,19,28,67.9,306,10.9,4,0,143.75,2,10,5,0,29.24
26,50054288,C.J. Stroud,OHIOST,QB,2,ORE,35,54,64.8,484,9,3,1,104.24,5,-3,-0.6,0,29.06
27,50036587,Adrian Martinez,NEBR,QB,2,BUF,13,19,68.4,242,12.7,2,0,146.27,9,112,12.4,0,28.88
28,50046625,Connor Bazelak,MISSR,QB,2,UK,34,51,66.7,294,5.8,4,1,99.63,6,28,4.7,0,28.56
29,50026462,N'Kosi Perry,FLATL,QB,2,GAS,19,27,70.4,332,12.3,4,0,151.54,8,-12,-1.5,0,28.08
30,50036765,Tanner Mordecai,SMU,QB,2,NTX,21,33,63.6,312,9.5,4,2,108.84,7,33,4.7,0,27.78
31,50026519,Kenny Pickett,PITT,QB,2,TENN,24,36,66.7,285,7.9,2,0,109.14,10,19,1.9,1,27.3
32,50068416,Justin Lynch,TEMPL,QB,2,AKRON,19,23,82.6,245,10.7,2,0,140.04,6,34,5.7,1,27.2
