Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPoints
1,50045582,Kenneth Walker III,MST,RB,1,NW,23,264,11.5,4,0,0,0,0,0,50.4
2,50036262,Mataeo Durant,DUKE,RB,1,CHARLT,29,255,8.8,3,2,37,0,1,1,47.2
3,50036929,DeAndre Torrey,NTX,RB,1,NWST,25,244,9.8,3,1,12,0,0,0,43.6
4,50038560,Tyler Badie,MISSR,RB,1,CMICH,25,203,8.1,1,3,40,1,0,0,36.3
5,50028773,D'Vonte Price,FLINT,RB,1,LIUB,5,165,33,3,0,0,0,0,0,34.5
6,50036340,Ricky Person Jr.,NCST,RB,1,SFL,16,105,6.6,2,3,43,1,0,0,32.8
7,50018427,Charles Williams,UNLV,RB,1,EWASH,27,172,6.4,2,1,9,0,0,0,30.1
8,50048080,Zach Charbonnet,UCLA,RB,1,HAWAII,6,106,17.7,3,1,14,0,0,0,30
9,50056395,Rasheen Ali,MARSH,RB,1,NAVY,14,59,4.2,4,0,0,0,1,0,29.9
10,50057010,Bijan Robinson,TX,RB,1,LOULAF,20,103,5.2,1,4,73,1,0,0,29.6
11,50037889,Leddie Brown,WVIR,RB,1,MARY,16,69,4.3,2,4,43,1,1,1,29.2
12,50026063,Zaquandre White,SC,RB,1,EILL,12,128,10.7,1,4,39,1,0,0,28.7
13,50026762,Mohamed Ibrahim,MINNST,RB,1,OHIOST,30,163,5.4,2,0,0,0,0,0,28.3
14,50056634,Jo'quavious Marks,MSPST,RB,1,LOUTCH,12,71,5.9,2,9,27,1,0,0,27.8
15,50031158,Pierre Strong Jr.,SDKST,RB,1,COLST,13,138,10.6,2,3,8,0,0,0,26.6
16,50036640,Isaiah Bowser,UCF,RB,1,BOISE,32,170,5.3,1,4,29,0,0,0,25.9
17,50056121,Tank Bigsby,AUBRN,RB,1,AKRON,13,119,9.2,2,1,19,0,0,0,25.8
18,50057011,Tahj Brooks,TXTECH,RB,1,HOU,15,134,8.9,2,0,0,0,0,0,25.4
19,50056966,Blake Corum,MICH,RB,1,WMICH,14,111,7.9,1,2,22,1,0,0,25.3
20,50057767,Devon Achane,TXAM,RB,1,KENTST,12,124,10.3,2,0,0,0,0,0,24.4
21,50042101,Deneric Prince,TULSA,RB,1,UCDV,14,179,12.8,1,1,4,0,0,0,24.3
22,50027280,Logan Wright,GAS,RB,1,GARDWB,26,178,6.8,1,1,4,0,0,0,24.2
23,50027025,Abram Smith,BAYL,RB,1,TXST,19,118,6.2,2,1,3,0,1,1,24.1
23,50057654,Sean Tucker,SYRA,RB,1,OHIO,25,181,7.2,1,0,0,0,0,0,24.1
25,50046224,Zonovan Knight,NCST,RB,1,SFL,16,163,10.2,1,2,16,0,0,0,23.9
26,50048448,Lew Nichols III,CMICH,RB,1,MISSR,19,135,7.1,1,4,40,0,0,0,23.5
27,50036092,Tavion Thomas,UTAH,RB,1,WEBST,12,107,8.9,2,0,0,0,1,1,22.7
28,50036595,Greg Bell,SDST,RB,1,NMXST,21,161,7.7,1,0,0,0,1,1,22.1
29,50037559,Camerun Peoples,APPLST,RB,1,ECAR,14,100,7.1,2,0,0,0,0,0,22
29,50054752,Shermari Jones,COAST,RB,1,CITA,9,100,11.1,2,0,0,0,0,0,22
29,50055438,Harrison Waylee,NILL,RB,1,GTECH,27,144,5.3,1,1,16,0,1,1,22
32,50048080,Zach Charbonnet,UCLA,RB,1,LSU,11,117,10.6,1,1,35,0,0,0,21.2
33,50042094,Jashaun Corbin,FLST,RB,1,ND,15,144,9.6,1,3,6,0,0,0,21
34,50055894,Brandon Thomas,MPHS,RB,1,NICHLS,16,147,9.2,1,0,0,0,0,0,20.7
34,50026893,Bryant Koback,TOLEDO,RB,1,NORFST,9,52,5.8,2,3,35,0,0,0,20.7
34,50028951,Ronald Awatt,UTEP,RB,1,BCOOK,19,126,6.6,1,1,21,0,0,0,20.7
37,50032479,Kevin Marks Jr.,BUF,RB,1,WAG,13,72,5.5,2,1,9,0,0,0,20.1
38,50041839,Jerome Ford,CIN,RB,1,MIAOH,12,121,10.1,1,2,19,0,0,0,20
39,50058879,Dae Dae Hunter,HAWAII,RB,1,PORTST,16,128,8,1,1,8,0,0,0,19.6
39,50057027,Deuce Vaughn,KANST,RB,1,STAN,13,124,9.5,1,2,12,0,0,0,19.6
41,50038454,Chris Rodriguez Jr.,UK,RB,1,LAMON,19,125,6.6,1,2,10,0,0,0,19.5
42,50026619,Christian Beal-Smith,WAKE,RB,1,OLD,11,74,6.7,2,0,0,0,0,0,19.4
43,50036462,Samson Evans,EMICH,RB,1,STFPA,5,11,2.2,3,0,0,0,0,0,19.1
