Rank,PlayerID,Name,Team,Position,Week,Opponent,Receptions,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPoints
1,50041949,Payne Durham,PUR,TE,1,OREGST,7,120,2,50,17.1,0,0,0,0,0,0,24
2,50061651,Dalton Kincaid,UTAH,TE,1,WEBST,4,75,2,35,18.8,0,0,0,0,0,0,19.5
3,50036712,Daniel Barker,ILL,TE,1,UTSA,5,74,2,27,14.8,0,0,0,0,0,0,19.4
4,50048377,Joshua Simon,WKENT,TE,1,TMRT,3,73,2,45,24.3,0,0,0,0,0,0,19.3
5,50056275,Michael Mayer,ND,TE,1,FLST,9,120,1,41,13.3,0,0,0,0,0,0,18
6,50039970,Greg Dulcich,UCLA,TE,1,LSU,3,117,1,75,39,0,0,0,0,0,0,17.7
7,50026982,Grant Calcaterra,SMU,TE,1,ABCHR,3,51,2,22,17,0,0,0,0,0,0,17.1
8,50046587,Nolan Matthews,SMU,TE,1,ABCHR,3,50,2,31,16.7,0,0,0,0,0,0,17
9,50041846,Cameron Latu,ALA,TE,1,MIA,3,43,2,25,14.3,0,0,0,0,0,0,16.3
10,50027793,Trey Pugh,NW,TE,1,MST,3,14,2,8,4.7,0,0,0,0,0,0,13.4
11,50026334,Kemari Averett,BCOOK,TE,1,UTEP,4,72,1,26,18,0,0,0,0,0,0,13.2
11,50043019,Derrick Deese Jr.,SJST,TE,1,SUTAH,3,72,1,38,24,0,0,0,0,0,0,13.2
13,50055486,Sam Olson,SJST,TE,1,SUTAH,1,70,1,70,70,0,0,0,0,0,0,13
14,50042856,Gerrit Prince,UAB,TE,1,JAXST,3,64,1,32,21.3,0,0,0,0,0,0,12.4
15,50037448,Lucas Krull,PITT,TE,1,UMASS,5,58,1,24,11.6,0,0,0,0,0,0,11.8
16,50037151,Trey McBride,COLST,TE,1,SDKST,13,116,0,17,8.9,0,0,0,0,0,0,11.6
17,50044615,Xavier Gravette,COAST,TE,1,CITA,2,54,1,49,27,0,0,0,0,0,0,11.4
18,50030657,Trae Barry,BOSCOL,TE,1,COLG,1,51,1,51,51,0,0,0,0,0,0,11.1
19,50042062,McCallan Castles,UCDV,TE,1,TULSA,4,44,1,13,11,0,0,0,0,0,0,10.4
20,50026969,Ryan Jones,ECAR,TE,1,APPLST,1,38,1,38,38,0,0,0,0,0,0,9.8
21,50037851,James Mitchell,VTECH,TE,1,NCAR,3,36,1,20,12,0,0,0,0,0,0,9.6
22,50007810,Jordan Myers,RICE,TE,1,ARK,2,11,0,11,5.5,10,23,2.3,1,0,0,9.4
23,50037745,Tyrick James,TULANE,TE,1,OKL,6,93,0,43,15.5,0,0,0,0,1,0,9.3
24,50036095,Josh Whyle,CIN,TE,1,MIAOH,2,32,1,23,16,0,0,0,0,0,0,9.2
24,50048669,Blake Gobel,EWASH,TE,1,UNLV,2,32,1,25,16,0,0,0,0,0,0,9.2
24,50061718,Deland Thomas,GARDWB,TE,1,GAS,6,32,1,8,5.3,0,0,0,0,0,0,9.2
27,50039231,Treyton Pickering,MONST,TE,1,WYOM,3,31,1,20,10.3,0,0,0,0,0,0,9.1
28,50043325,Luke Ford,ILL,TE,1,NEBR,3,30,1,19,10,0,0,0,0,0,0,9
29,50037737,Alec Holler,UCF,TE,1,BOISE,2,29,1,23,14.5,0,0,0,0,0,0,8.9
30,50057752,Jaheim Bell,SC,TE,1,EILL,2,11,1,8,5.5,2,16,8,0,0,0,8.7
30,50028581,Will Wallace,TULANE,TE,1,OKL,3,27,1,13,9,0,0,0,0,0,0,8.7
32,50033372,Erik Krommenhoek,USC,TE,1,SJST,2,26,1,20,13,0,0,0,0,1,1,8.6
33,50029466,Dylan Ingram,EWASH,TE,1,UNLV,1,25,1,25,25,0,0,0,0,0,0,8.5
33,50048502,Treyton Welch,WYOM,TE,1,MONST,2,25,1,21,12.5,0,0,0,0,0,0,8.5
35,50046260,Sam LaPorta,IOWA,TE,1,IND,5,83,0,24,16.6,0,0,0,0,0,0,8.3
36,50028219,Cade Otton,WASH,TE,1,MONT,8,82,0,25,10.2,0,0,0,0,0,0,8.2
37,50036497,Chigoziem Okonkwo,MARY,TE,1,WVIR,2,21,1,18,10.5,0,0,0,0,0,0,8.1
38,50048476,Raymond Pauwels Jr.,FREST,TE,1,UCONN,3,20,1,10,6.7,0,0,0,0,0,0,8
39,50045994,Jayce Medlock,UCONN,TE,1,HOLY,2,19,1,11,9.5,0,0,0,0,0,0,7.9
40,50046655,Chase Hancock,GAS,TE,1,GARDWB,1,17,1,17,17,0,0,0,0,0,0,7.7
41,50037096,Cole Turner,NEVADA,TE,1,CAH,7,75,0,17,10.7,0,0,0,0,0,0,7.5
41,50048487,Kyle Jarvis,NMX,TE,1,HOUBAP,2,15,1,11,7.5,0,0,0,0,0,0,7.5
41,50030499,Nick Muse,SC,TE,1,EILL,2,15,1,11,7.5,0,0,0,0,0,0,7.5
44,50036894,Isaiah Spencer,OLD,TE,1,WAKE,2,13,1,9,6.5,0,0,0,0,0,0,7.3
45,50036091,Leonard Taylor,CIN,TE,1,MIAOH,2,12,1,8,6,0,0,0,0,0,0,7.2
46,50005159,Seth Green,HOU,TE,1,TXTECH,1,9,1,9,9,0,0,0,0,0,0,6.9
47,50046627,Niko Hea,MISSR,TE,1,CMICH,2,8,1,6,4,0,0,0,0,0,0,6.8
48,50030568,Miles Joiner,NILL,TE,1,GTECH,2,6,1,5,3,0,0,0,0,0,0,6.6
48,50033969,Cade Brewer,TX,TE,1,LOULAF,1,6,1,6,6,0,0,0,0,0,0,6.6
50,50036440,Isaiah Likely,COAST,TE,1,CITA,5,64,0,20,12.8,0,0,0,0,0,0,6.4
50,50032386,Caleb Phillips,HAWAII,TE,1,UCLA,2,4,1,3,2,0,0,0,0,0,0,6.4
50,50038441,Brenden Bates,UK,TE,1,LAMON,1,4,1,4,4,0,0,0,0,0,0,6.4
53,50043019,Derrick Deese Jr.,SJST,TE,1,USC,3,63,0,29,21,0,0,0,0,0,0,6.3
54,50038107,Trent Thompson,UTEP,TE,1,BCOOK,1,2,1,2,2,0,0,0,0,0,0,6.2
54,50039492,Hayden Meacham,WEBST,TE,1,UTAH,1,2,1,2,2,0,0,0,0,0,0,6.2
56,50008262,Jake Molinich,BUF,TE,1,WAG,0,0,0,0,0,1,1,1,1,0,0,6.1
56,50006792,Xavier Gaines,MARSH,TE,1,NAVY,2,61,0,41,30.5,0,0,0,0,1,0,6.1
