Rank,PlayerID,Name,Team,Position,Week,Opponent,Receptions,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPoints
1,50049473,Dennis Houston,WILL,WR,1,BALLST,12,237,2,75,19.8,0,0,0,0,0,0,35.7
2,50054456,Kayshon Boutte,LSU,WR,1,UCLA,9,148,3,45,16.4,0,0,0,0,0,0,32.8
3,50054935,Corey Rucker,ARKST,WR,1,CARK,9,138,3,34,15.3,0,0,0,0,0,0,31.8
4,50028845,Justin Hall,BALLST,WR,1,WILL,8,137,2,49,17.1,4,12,3,0,1,1,26.9
5,50028096,Neil Pau'u,BYU,WR,1,ARZ,8,126,2,67,15.8,0,0,0,0,0,0,24.96
6,50059044,Micah Davis,AIRF,WR,1,LAFAY,2,27,0,17,13.5,4,101,25.2,2,0,0,24.8
7,50045607,Wan'Dale Robinson,UK,WR,1,LAMON,5,125,2,62,25,0,0,0,0,1,0,24.5
8,50067331,Grant DuBose,CHARLT,WR,1,DUKE,4,118,2,56,29.5,0,0,0,0,0,0,23.8
9,50045769,Dontario Drummond,MISS,WR,1,LOU,9,177,1,34,19.7,0,0,0,0,0,0,23.7
9,50036584,Chris Olave,OHIOST,WR,1,MINNST,4,117,2,61,29.2,0,0,0,0,0,0,23.7
11,50048557,Ainias Smith,TXAM,WR,1,KENTST,8,100,2,27,12.5,3,16,5.3,0,1,1,23.6
12,50025221,Samori Toure,NEBR,WR,1,FORDM,8,133,0,31,16.6,3,35,11.7,1,0,0,22.8
13,50044289,Jerreth Sterns,WKENT,WR,1,TMRT,7,107,2,36,15.3,0,0,0,0,0,0,22.7
14,50040855,T.J. Luther,GARDWB,WR,1,GAS,6,164,1,47,27.3,0,0,0,0,0,0,22.4
15,50028870,JaCorey Sullivan,CMICH,WR,1,MISSR,8,102,2,39,12.8,0,0,0,0,0,0,22.2
16,50056888,Danny Gray,SMU,WR,1,ABCHR,4,72,2,30,18,1,27,27,0,0,0,21.9
17,50042565,Khalil Shakir,BOISE,WR,1,UCF,5,91,2,24,18.2,1,7,7,0,0,0,21.8
